#,survived,class,gender,age,sib_sp,par_ch,fare,embarked,family,age_bin
374,perished,first,male,22,0,0,135.6333,"Cherbourg, FR",none,21 to 30
140,perished,first,male,24,0,0,79.2,"Cherbourg, FR",none,21 to 30
453,perished,first,male,30,0,0,27.75,"Cherbourg, FR",none,21 to 30
584,perished,first,male,36,0,0,40.125,"Cherbourg, FR",none,31 to 40
31,perished,first,male,40,0,0,27.7208,"Cherbourg, FR",none,31 to 40
790,perished,first,male,46,0,0,79.2,"Cherbourg, FR",none,41 to 50
178,perished,first,female,50,0,0,28.7125,"Cherbourg, FR",none,41 to 50
175,perished,first,male,56,0,0,30.6958,"Cherbourg, FR",none,51 to 60
488,perished,first,male,58,0,0,29.7,"Cherbourg, FR",none,51 to 60
97,perished,first,male,71,0,0,34.6542,"Cherbourg, FR",none,61 to 80
494,perished,first,male,71,0,0,49.5042,"Cherbourg, FR",none,61 to 80
65,perished,first,male,unknown,0,0,27.7208,"Cherbourg, FR",none,
296,perished,first,male,unknown,0,0,27.7208,"Cherbourg, FR",none,
558,perished,first,male,unknown,0,0,227.525,"Cherbourg, FR",none,
767,perished,first,male,unknown,0,0,39.6,"Cherbourg, FR",none,
794,perished,first,male,unknown,0,0,30.6958,"Cherbourg, FR",none,
84,perished,first,male,28,0,0,47.1,"Southampton, UK",none,21 to 30
783,perished,first,male,29,0,0,30,"Southampton, UK",none,21 to 30
868,perished,first,male,31,0,0,50.4958,"Southampton, UK",none,21 to 30
873,perished,first,male,33,0,0,5,"Southampton, UK",none,31 to 40
823,perished,first,male,38,0,0,0,"Southampton, UK",none,31 to 40
807,perished,first,male,39,0,0,0,"Southampton, UK",none,31 to 40
264,perished,first,male,40,0,0,0,"Southampton, UK",none,31 to 40
340,perished,first,male,45,0,0,35.5,"Southampton, UK",none,41 to 50
537,perished,first,male,45,0,0,26.55,"Southampton, UK",none,41 to 50
332,perished,first,male,45.5,0,0,28.5,"Southampton, UK",none,41 to 50
111,perished,first,male,47,0,0,52,"Southampton, UK",none,41 to 50
463,perished,first,male,47,0,0,38.5,"Southampton, UK",none,41 to 50
